"gender","year","municipalities","value"
"Men","2009","Kuzma",76
"Men","2009","Laško",2219
"Men","2009","Lenart",2052
"Men","2009","Lendava/Lendva",2395
"Men","2009","Litija",1721
"Men","2009","Ljubljana",110052
"Men","2009","Ljubno",526
"Men","2009","Ljutomer",2437
"Men","2009","Log - Dragomer",387
"Men","2009","Logatec",2217
"Men","2009","Loška dolina",862
"Men","2009","Loški Potok",168
"Men","2009","Lovrenc na Pohorju",290
"Men","2009","Luče",164
"Men","2009","Lukovica",571
"Men","2009","Majšperk",402
"Men","2009","Makole",115
"Men","2009","Maribor",33339
"Men","2009","Markovci",386
"Men","2009","Medvode",2360
"Men","2009","Mengeš",1884
"Men","2009","Metlika",1616
"Men","2009","Mežica",709
"Men","2009","Miklavž na Dravskem polju",742
"Men","2009","Miren - Kostanjevica",659
"Men","2009","Mirna",NA
"Men","2009","Mirna Peč",146
"Men","2009","Mislinja",299
"Men","2009","Mokronog - Trebelno",317
"Men","2009","Moravče",342
"Men","2009","Moravske Toplice",586
"Men","2009","Mozirje",483
"Men","2009","Murska Sobota",6197
"Men","2009","Muta",659
"Men","2009","Naklo",1353
"Men","2009","Nazarje",917
"Men","2009","Nova Gorica",8357
"Men","2009","Novo mesto",12653
"Men","2009","Odranci",159
"Men","2009","Oplotnica",288
"Men","2009","Ormož",1661
"Men","2009","Osilnica",43
"Men","2009","Pesnica",748
"Men","2009","Piran/Pirano",3685
"Men","2009","Pivka",1322
"Men","2009","Podčetrtek",366
"Men","2009","Podlehnik",294
"Men","2009","Podvelka",216
"Men","2009","Poljčane",488
"Men","2009","Polzela",644
"Men","2009","Postojna",3268
"Men","2009","Prebold",629
"Men","2009","Preddvor",366
"Men","2009","Prevalje",777
"Men","2009","Ptuj",6453
"Men","2009","Puconci",445
"Men","2009","Rače - Fram",778
"Men","2009","Radeče",655
"Men","2009","Radenci",608
"Men","2009","Radlje ob Dravi",1017
"Men","2009","Radovljica",2990
"Men","2009","Ravne na Koroškem",3152
"Men","2009","Razkrižje",86
"Men","2009","Rečica ob Savinji",393
"Men","2009","Renče - Vogrsko",764
"Men","2009","Ribnica",1871
"Men","2009","Ribnica na Pohorju",63
"Men","2009","Rogaška Slatina",2222
"Men","2009","Rogašovci",120
"Men","2009","Rogatec",485
"Men","2009","Ruše",1217
"Men","2009","Selnica ob Dravi",582
"Men","2009","Semič",549
"Men","2009","Sevnica",3049
"Men","2009","Sežana",3346
"Men","2009","Slovenj Gradec",3841
"Men","2009","Slovenska Bistrica",4336
"Men","2009","Slovenske Konjice",2836
"Men","2009","Sodražica",209
"Men","2009","Solčava",50
"Men","2009","Središče ob Dravi",195
"Men","2009","Starše",267
"Men","2009","Straža",650
"Men","2009","Sveta Ana",63
"Men","2009","Sveta Trojica v Slov. goricah",99
"Men","2009","Sveti Andraž v Slov. goricah",27
"Men","2009","Sveti Jurij ob Ščavnici",195
"Men","2009","Sveti Jurij v Slov. goricah",88
"Men","2009","Sveti Tomaž",36
"Men","2009","Šalovci",56
"Men","2009","Šempeter - Vrtojba",2510
"Men","2009","Šenčur",1343
"Men","2009","Šentilj",1117
"Men","2009","Šentjernej",878
"Men","2009","Šentjur",2481
"Men","2009","Šentrupert",503
"Men","2009","Škocjan",350
"Men","2009","Škofja Loka",4598
"Men","2009","Škofljica",1155
"Men","2009","Šmarje pri Jelšah",1209
"Men","2009","Šmarješke Toplice",294
"Men","2009","Šmartno ob Paki",202
"Men","2009","Šmartno pri Litiji",605
"Men","2009","Šoštanj",1314
"Men","2009","Štore",1390
"Men","2009","Tabor",76
"Men","2009","Tišina",240
"Men","2009","Tolmin",2242
"Men","2009","Trbovlje",2912
"Men","2009","Trebnje",3031
"Men","2009","Trnovska vas",51
"Men","2009","Trzin",3642
"Men","2009","Tržič",1637
"Men","2009","Turnišče",244
"Men","2009","Velenje",11633
"Men","2009","Velika Polana",72
"Men","2009","Velike Lašče",300
"Men","2009","Veržej",119
"Men","2009","Videm",261
"Men","2009","Vipava",708
"Men","2009","Vitanje",200
"Men","2009","Vodice",501
"Men","2009","Vojnik",843
"Men","2009","Vransko",256
"Men","2009","Vrhnika",2255
"Men","2009","Vuzenica",416
"Men","2009","Zagorje ob Savi",2436
"Men","2009","Zavrč",113
"Men","2009","Zreče",2435
"Men","2009","Žalec",4511
"Men","2009","Železniki",1342
"Men","2009","Žetale",52
"Men","2009","Žiri",971
"Men","2009","Žirovnica",395
"Men","2009","Žužemberk",365
"Men","2010","Ajdovščina",3744
"Men","2010","Ankaran/Ancarano",NA
"Men","2010","Apače",252
"Men","2010","Beltinci",737
"Men","2010","Benedikt",154
"Men","2010","Bistrica ob Sotli",142
"Men","2010","Bled",1705
"Men","2010","Bloke",317
"Men","2010","Bohinj",659
"Men","2010","Borovnica",492
"Men","2010","Bovec",556
"Men","2010","Braslovče",423
"Men","2010","Brda",374
"Men","2010","Brezovica",1400
"Men","2010","Brežice",3474
"Men","2010","Cankova",167
"Men","2010","Celje",16474
"Men","2010","Cerklje na Gorenjskem",1724
"Men","2010","Cerknica",1787
"Men","2010","Cerkno",867
"Men","2010","Cerkvenjak",127
"Men","2010","Cirkulane",103
"Men","2010","Črenšovci",519
"Men","2010","Črna na Koroškem",316
"Men","2010","Črnomelj",2499
"Men","2010","Destrnik",141
"Men","2010","Divača",1049
"Men","2010","Dobje",58
"Men","2010","Dobrepolje",398
"Men","2010","Dobrna",151
"Men","2010","Dobrova - Polhov Gradec",686
"Men","2010","Dobrovnik/Dobronak",111
"Men","2010","Dol pri Ljubljani",683
"Men","2010","Dolenjske Toplice",337
"Men","2010","Domžale",6055
"Men","2010","Dornava",253
"Men","2010","Dravograd",1547
"Men","2010","Duplek",404
"Men","2010","Gorenja vas - Poljane",663
"Men","2010","Gorišnica",435
"Men","2010","Gorje",235
"Men","2010","Gornja Radgona",2351
"Men","2010","Gornji Grad",209
"Men","2010","Gornji Petrovci",113
"Men","2010","Grad",95
"Men","2010","Grosuplje",3636
"Men","2010","Hajdina",361
"Men","2010","Hoče - Slivnica",2506
"Men","2010","Hodoš/Hodos",15
"Men","2010","Horjul",544
"Men","2010","Hrastnik",1163
"Men","2010","Hrpelje - Kozina",890
"Men","2010","Idrija",3099
"Men","2010","Ig",668
"Men","2010","Ilirska Bistrica",1987
"Men","2010","Ivančna Gorica",2232
"Men","2010","Izola/Isola",2830
"Men","2010","Jesenice",3903
"Men","2010","Jezersko",62
"Men","2010","Juršinci",85
"Men","2010","Kamnik",3810
"Men","2010","Kanal",740
"Men","2010","Kidričevo",1889
"Men","2010","Kobarid",387
"Men","2010","Kobilje",31
"Men","2010","Kočevje",2487
"Men","2010","Komen",407
"Men","2010","Komenda",1048
"Men","2010","Koper/Capodistria",13742
"Men","2010","Kostanjevica na Krki",218
"Men","2010","Kostel",81
"Men","2010","Kozje",230
"Men","2010","Kranj",13409
"Men","2010","Kranjska Gora",612
"Men","2010","Križevci",415
"Men","2010","Krško",5082
"Men","2010","Kungota",560
"Men","2010","Kuzma",83
"Men","2010","Laško",2159
"Men","2010","Lenart",1982
"Men","2010","Lendava/Lendva",2145
"Men","2010","Litija",1704
"Men","2010","Ljubljana",106867
"Men","2010","Ljubno",558
"Men","2010","Ljutomer",2384
"Men","2010","Log - Dragomer",394
"Men","2010","Logatec",2146
"Men","2010","Loška dolina",869
"Men","2010","Loški Potok",147
"Men","2010","Lovrenc na Pohorju",275
"Men","2010","Luče",159
"Men","2010","Lukovica",588
"Men","2010","Majšperk",293
"Men","2010","Makole",115
"Men","2010","Maribor",32628
"Men","2010","Markovci",388
"Men","2010","Medvode",2130
"Men","2010","Mengeš",1719
"Men","2010","Metlika",1535
"Men","2010","Mežica",758
"Men","2010","Miklavž na Dravskem polju",692
"Men","2010","Miren - Kostanjevica",607
"Men","2010","Mirna",NA
"Men","2010","Mirna Peč",122
"Men","2010","Mislinja",281
"Men","2010","Mokronog - Trebelno",261
"Men","2010","Moravče",376
"Men","2010","Moravske Toplice",560
"Men","2010","Mozirje",506
"Men","2010","Murska Sobota",6217
"Men","2010","Muta",666
"Men","2010","Naklo",1140
"Men","2010","Nazarje",943
"Men","2010","Nova Gorica",7896
"Men","2010","Novo mesto",12151
"Men","2010","Odranci",289
"Men","2010","Oplotnica",280
"Men","2010","Ormož",1594
"Men","2010","Osilnica",44
"Men","2010","Pesnica",691
"Men","2010","Piran/Pirano",3535
"Men","2010","Pivka",1265
"Men","2010","Podčetrtek",363
"Men","2010","Podlehnik",292
"Men","2010","Podvelka",221
"Men","2010","Poljčane",553
"Men","2010","Polzela",596
"Men","2010","Postojna",3118
"Men","2010","Prebold",689
"Men","2010","Preddvor",359
"Men","2010","Prevalje",757
"Men","2010","Ptuj",6023
"Men","2010","Puconci",464
"Men","2010","Rače - Fram",752
"Men","2010","Radeče",597
"Men","2010","Radenci",633
"Men","2010","Radlje ob Dravi",998
"Men","2010","Radovljica",2926
"Men","2010","Ravne na Koroškem",3030
"Men","2010","Razkrižje",85
"Men","2010","Rečica ob Savinji",345
"Men","2010","Renče - Vogrsko",708
"Men","2010","Ribnica",1877
"Men","2010","Ribnica na Pohorju",64
"Men","2010","Rogaška Slatina",2249
"Men","2010","Rogašovci",125
"Men","2010","Rogatec",495
"Men","2010","Ruše",1210
"Men","2010","Selnica ob Dravi",559
"Men","2010","Semič",328
"Men","2010","Sevnica",2841
"Men","2010","Sežana",3166
"Men","2010","Slovenj Gradec",3731
"Men","2010","Slovenska Bistrica",4351
"Men","2010","Slovenske Konjice",2697
"Men","2010","Sodražica",212
"Men","2010","Solčava",49
"Men","2010","Središče ob Dravi",194
"Men","2010","Starše",342
"Men","2010","Straža",671
"Men","2010","Sveta Ana",63
"Men","2010","Sveta Trojica v Slov. goricah",111
"Men","2010","Sveti Andraž v Slov. goricah",24
"Men","2010","Sveti Jurij ob Ščavnici",183
"Men","2010","Sveti Jurij v Slov. goricah",89
"Men","2010","Sveti Tomaž",38
"Men","2010","Šalovci",58
"Men","2010","Šempeter - Vrtojba",2583
"Men","2010","Šenčur",1387
"Men","2010","Šentilj",1059
"Men","2010","Šentjernej",859
"Men","2010","Šentjur",2333
"Men","2010","Šentrupert",516
"Men","2010","Škocjan",490
"Men","2010","Škofja Loka",4565
"Men","2010","Škofljica",1138
"Men","2010","Šmarje pri Jelšah",1182
"Men","2010","Šmarješke Toplice",332
"Men","2010","Šmartno ob Paki",217
"Men","2010","Šmartno pri Litiji",584
"Men","2010","Šoštanj",1226
"Men","2010","Štore",1431
"Men","2010","Tabor",70
"Men","2010","Tišina",203
"Men","2010","Tolmin",2242
"Men","2010","Trbovlje",2652
"Men","2010","Trebnje",2899
"Men","2010","Trnovska vas",63
"Men","2010","Trzin",2990
"Men","2010","Tržič",1612
"Men","2010","Turnišče",235
"Men","2010","Velenje",9405
"Men","2010","Velika Polana",73
"Men","2010","Velike Lašče",283
"Men","2010","Veržej",108
"Men","2010","Videm",238
"Men","2010","Vipava",676
"Men","2010","Vitanje",199
"Men","2010","Vodice",528
"Men","2010","Vojnik",838
"Men","2010","Vransko",258
"Men","2010","Vrhnika",2216
"Men","2010","Vuzenica",402
"Men","2010","Zagorje ob Savi",2401
"Men","2010","Zavrč",91
"Men","2010","Zreče",2367
"Men","2010","Žalec",4272
"Men","2010","Železniki",1366
"Men","2010","Žetale",55
"Men","2010","Žiri",965
"Men","2010","Žirovnica",355
"Men","2010","Žužemberk",378
"Men","2011","Ajdovščina",3566
"Men","2011","Ankaran/Ancarano",NA
"Men","2011","Apače",267
"Men","2011","Beltinci",809
"Men","2011","Benedikt",148
"Men","2011","Bistrica ob Sotli",137
"Men","2011","Bled",1612
"Men","2011","Bloke",254
"Men","2011","Bohinj",620
"Men","2011","Borovnica",371
"Men","2011","Bovec",593
"Men","2011","Braslovče",438
"Men","2011","Brda",386
"Men","2011","Brezovica",1394
"Men","2011","Brežice",3352
"Men","2011","Cankova",141
"Men","2011","Celje",15791
"Men","2011","Cerklje na Gorenjskem",1712
"Men","2011","Cerknica",1758
"Men","2011","Cerkno",836
"Men","2011","Cerkvenjak",129
"Men","2011","Cirkulane",109
"Men","2011","Črenšovci",456
"Men","2011","Črna na Koroškem",313
"Men","2011","Črnomelj",2457
"Men","2011","Destrnik",139
"Men","2011","Divača",727
"Men","2011","Dobje",59
"Men","2011","Dobrepolje",453
"Men","2011","Dobrna",163
"Men","2011","Dobrova - Polhov Gradec",727
"Men","2011","Dobrovnik/Dobronak",105
"Men","2011","Dol pri Ljubljani",699
"Men","2011","Dolenjske Toplice",316
"Men","2011","Domžale",6004
"Men","2011","Dornava",216
"Men","2011","Dravograd",1520
"Men","2011","Duplek",432
"Men","2011","Gorenja vas - Poljane",679
"Men","2011","Gorišnica",458
"Men","2011","Gorje",248
"Men","2011","Gornja Radgona",2408
"Men","2011","Gornji Grad",205
"Men","2011","Gornji Petrovci",108
"Men","2011","Grad",84
"Men","2011","Grosuplje",3565
"Men","2011","Hajdina",374
"Men","2011","Hoče - Slivnica",2706
"Men","2011","Hodoš/Hodos",5
"Men","2011","Horjul",560
"Men","2011","Hrastnik",1213
"Men","2011","Hrpelje - Kozina",883
"Men","2011","Idrija",3286
"Men","2011","Ig",669
"Men","2011","Ilirska Bistrica",1958
"Men","2011","Ivančna Gorica",2267
"Men","2011","Izola/Isola",2750
"Men","2011","Jesenice",3541
"Men","2011","Jezersko",57
"Men","2011","Juršinci",91
"Men","2011","Kamnik",3846
"Men","2011","Kanal",728
"Men","2011","Kidričevo",1875
"Men","2011","Kobarid",384
"Men","2011","Kobilje",28
"Men","2011","Kočevje",2474
"Men","2011","Komen",392
"Men","2011","Komenda",1063
"Men","2011","Koper/Capodistria",13362
"Men","2011","Kostanjevica na Krki",219
"Men","2011","Kostel",85
"Men","2011","Kozje",237
"Men","2011","Kranj",12777
"Men","2011","Kranjska Gora",627
"Men","2011","Križevci",446
"Men","2011","Krško",5088
"Men","2011","Kungota",558
"Men","2011","Kuzma",69
"Men","2011","Laško",1853
"Men","2011","Lenart",1993
"Men","2011","Lendava/Lendva",2111
"Men","2011","Litija",1609
"Men","2011","Ljubljana",108634
"Men","2011","Ljubno",600
"Men","2011","Ljutomer",2306
"Men","2011","Log - Dragomer",473
"Men","2011","Logatec",2192
"Men","2011","Loška dolina",794
"Men","2011","Loški Potok",146
"Men","2011","Lovrenc na Pohorju",288
"Men","2011","Luče",161
"Men","2011","Lukovica",602
"Men","2011","Majšperk",266
"Men","2011","Makole",111
"Men","2011","Maribor",29644
"Men","2011","Markovci",423
"Men","2011","Medvode",2206
"Men","2011","Mengeš",1290
"Men","2011","Metlika",1526
"Men","2011","Mežica",793
"Men","2011","Miklavž na Dravskem polju",702
"Men","2011","Miren - Kostanjevica",590
"Men","2011","Mirna",NA
"Men","2011","Mirna Peč",132
"Men","2011","Mislinja",259
"Men","2011","Mokronog - Trebelno",236
"Men","2011","Moravče",411
"Men","2011","Moravske Toplice",541
"Men","2011","Mozirje",500
"Men","2011","Murska Sobota",6152
"Men","2011","Muta",675
"Men","2011","Naklo",1288
"Men","2011","Nazarje",975
"Men","2011","Nova Gorica",7351
"Men","2011","Novo mesto",11893
"Men","2011","Odranci",401
"Men","2011","Oplotnica",259
"Men","2011","Ormož",1483
"Men","2011","Osilnica",34
"Men","2011","Pesnica",626
"Men","2011","Piran/Pirano",3419
"Men","2011","Pivka",916
"Men","2011","Podčetrtek",380
"Men","2011","Podlehnik",266
"Men","2011","Podvelka",214
"Men","2011","Poljčane",556
"Men","2011","Polzela",589
"Men","2011","Postojna",2769
"Men","2011","Prebold",794
"Men","2011","Preddvor",344
"Men","2011","Prevalje",781
"Men","2011","Ptuj",5778
"Men","2011","Puconci",518
"Men","2011","Rače - Fram",731
"Men","2011","Radeče",568
"Men","2011","Radenci",609
"Men","2011","Radlje ob Dravi",1008
"Men","2011","Radovljica",2949
"Men","2011","Ravne na Koroškem",3310
"Men","2011","Razkrižje",85
"Men","2011","Rečica ob Savinji",352
"Men","2011","Renče - Vogrsko",699
"Men","2011","Ribnica",1988
"Men","2011","Ribnica na Pohorju",69
"Men","2011","Rogaška Slatina",2245
"Men","2011","Rogašovci",122
"Men","2011","Rogatec",477
"Men","2011","Ruše",1108
"Men","2011","Selnica ob Dravi",527
"Men","2011","Semič",372
"Men","2011","Sevnica",2643
"Men","2011","Sežana",3146
"Men","2011","Slovenj Gradec",3729
"Men","2011","Slovenska Bistrica",4411
"Men","2011","Slovenske Konjice",2744
"Men","2011","Sodražica",204
"Men","2011","Solčava",55
"Men","2011","Središče ob Dravi",188
"Men","2011","Starše",390
"Men","2011","Straža",382
"Men","2011","Sveta Ana",70
"Men","2011","Sveta Trojica v Slov. goricah",111
"Men","2011","Sveti Andraž v Slov. goricah",35
"Men","2011","Sveti Jurij ob Ščavnici",192
"Men","2011","Sveti Jurij v Slov. goricah",87
"Men","2011","Sveti Tomaž",43
"Men","2011","Šalovci",59
"Men","2011","Šempeter - Vrtojba",2568
"Men","2011","Šenčur",1412
"Men","2011","Šentilj",1048
"Men","2011","Šentjernej",882
"Men","2011","Šentjur",2182
"Men","2011","Šentrupert",505
"Men","2011","Škocjan",331
"Men","2011","Škofja Loka",4670
"Men","2011","Škofljica",1294
"Men","2011","Šmarje pri Jelšah",1217
"Men","2011","Šmarješke Toplice",333
"Men","2011","Šmartno ob Paki",226
"Men","2011","Šmartno pri Litiji",608
"Men","2011","Šoštanj",1333
"Men","2011","Štore",1372
"Men","2011","Tabor",65
"Men","2011","Tišina",196
"Men","2011","Tolmin",2099
"Men","2011","Trbovlje",2487
"Men","2011","Trebnje",2797
"Men","2011","Trnovska vas",84
"Men","2011","Trzin",2648
"Men","2011","Tržič",1607
"Men","2011","Turnišče",236
"Men","2011","Velenje",9135
"Men","2011","Velika Polana",67
"Men","2011","Velike Lašče",299
"Men","2011","Veržej",114
"Men","2011","Videm",269
"Men","2011","Vipava",654
"Men","2011","Vitanje",209
"Men","2011","Vodice",529
"Men","2011","Vojnik",890
"Men","2011","Vransko",279
"Men","2011","Vrhnika",2100
"Men","2011","Vuzenica",399
"Men","2011","Zagorje ob Savi",2408
"Men","2011","Zavrč",100
"Men","2011","Zreče",2419
"Men","2011","Žalec",4174
"Men","2011","Železniki",1415
"Men","2011","Žetale",55
"Men","2011","Žiri",1018
"Men","2011","Žirovnica",382
"Men","2011","Žužemberk",385
"Men","2012","Ajdovščina",2782
"Men","2012","Ankaran/Ancarano",NA
"Men","2012","Apače",268
"Men","2012","Beltinci",717
"Men","2012","Benedikt",149
"Men","2012","Bistrica ob Sotli",134
"Men","2012","Bled",1521
"Men","2012","Bloke",182
"Men","2012","Bohinj",575
"Men","2012","Borovnica",382
"Men","2012","Bovec",591
"Men","2012","Braslovče",429
"Men","2012","Brda",358
"Men","2012","Brezovica",1370
"Men","2012","Brežice",3258
"Men","2012","Cankova",140
"Men","2012","Celje",14896
"Men","2012","Cerklje na Gorenjskem",1637
"Men","2012","Cerknica",1881
"Men","2012","Cerkno",788
"Men","2012","Cerkvenjak",125
"Men","2012","Cirkulane",118
"Men","2012","Črenšovci",376
"Men","2012","Črna na Koroškem",307
"Men","2012","Črnomelj",2046
"Men","2012","Destrnik",137
"Men","2012","Divača",690
"Men","2012","Dobje",59
"Men","2012","Dobrepolje",441
"Men","2012","Dobrna",160
"Men","2012","Dobrova - Polhov Gradec",745
"Men","2012","Dobrovnik/Dobronak",92
"Men","2012","Dol pri Ljubljani",729
"Men","2012","Dolenjske Toplice",330
"Men","2012","Domžale",5641
"Men","2012","Dornava",225
"Men","2012","Dravograd",1370
"Men","2012","Duplek",425
"Men","2012","Gorenja vas - Poljane",713
"Men","2012","Gorišnica",443
"Men","2012","Gorje",233
"Men","2012","Gornja Radgona",2299
"Men","2012","Gornji Grad",157
"Men","2012","Gornji Petrovci",114
"Men","2012","Grad",83
"Men","2012","Grosuplje",3465
"Men","2012","Hajdina",404
"Men","2012","Hoče - Slivnica",2637
"Men","2012","Hodoš/Hodos",9
"Men","2012","Horjul",547
"Men","2012","Hrastnik",1121
"Men","2012","Hrpelje - Kozina",845
"Men","2012","Idrija",3263
"Men","2012","Ig",652
"Men","2012","Ilirska Bistrica",2023
"Men","2012","Ivančna Gorica",2356
"Men","2012","Izola/Isola",2492
"Men","2012","Jesenice",3522
"Men","2012","Jezersko",38
"Men","2012","Juršinci",99
"Men","2012","Kamnik",3789
"Men","2012","Kanal",691
"Men","2012","Kidričevo",1821
"Men","2012","Kobarid",365
"Men","2012","Kobilje",24
"Men","2012","Kočevje",2354
"Men","2012","Komen",361
"Men","2012","Komenda",1119
"Men","2012","Koper/Capodistria",12482
"Men","2012","Kostanjevica na Krki",212
"Men","2012","Kostel",84
"Men","2012","Kozje",268
"Men","2012","Kranj",12170
"Men","2012","Kranjska Gora",583
"Men","2012","Križevci",392
"Men","2012","Krško",4900
"Men","2012","Kungota",571
"Men","2012","Kuzma",74
"Men","2012","Laško",1858
"Men","2012","Lenart",1870
"Men","2012","Lendava/Lendva",1989
"Men","2012","Litija",1586
"Men","2012","Ljubljana",105598
"Men","2012","Ljubno",613
"Men","2012","Ljutomer",2243
"Men","2012","Log - Dragomer",287
"Men","2012","Logatec",2151
"Men","2012","Loška dolina",737
"Men","2012","Loški Potok",143
"Men","2012","Lovrenc na Pohorju",281
"Men","2012","Luče",168
"Men","2012","Lukovica",608
"Men","2012","Majšperk",263
"Men","2012","Makole",117
"Men","2012","Maribor",27780
"Men","2012","Markovci",407
"Men","2012","Medvode",2153
"Men","2012","Mengeš",1160
"Men","2012","Metlika",1461
"Men","2012","Mežica",815
"Men","2012","Miklavž na Dravskem polju",699
"Men","2012","Miren - Kostanjevica",575
"Men","2012","Mirna",352
"Men","2012","Mirna Peč",126
"Men","2012","Mislinja",245
"Men","2012","Mokronog - Trebelno",231
"Men","2012","Moravče",419
"Men","2012","Moravske Toplice",502
"Men","2012","Mozirje",512
"Men","2012","Murska Sobota",6012
"Men","2012","Muta",666
"Men","2012","Naklo",1162
"Men","2012","Nazarje",962
"Men","2012","Nova Gorica",7165
"Men","2012","Novo mesto",11227
"Men","2012","Odranci",446
"Men","2012","Oplotnica",270
"Men","2012","Ormož",1476
"Men","2012","Osilnica",27
"Men","2012","Pesnica",690
"Men","2012","Piran/Pirano",3122
"Men","2012","Pivka",769
"Men","2012","Podčetrtek",390
"Men","2012","Podlehnik",255
"Men","2012","Podvelka",202
"Men","2012","Poljčane",507
"Men","2012","Polzela",484
"Men","2012","Postojna",2739
"Men","2012","Prebold",782
"Men","2012","Preddvor",318
"Men","2012","Prevalje",776
"Men","2012","Ptuj",5719
"Men","2012","Puconci",551
"Men","2012","Rače - Fram",719
"Men","2012","Radeče",416
"Men","2012","Radenci",613
"Men","2012","Radlje ob Dravi",1002
"Men","2012","Radovljica",2819
"Men","2012","Ravne na Koroškem",3167
"Men","2012","Razkrižje",88
"Men","2012","Rečica ob Savinji",359
"Men","2012","Renče - Vogrsko",644
"Men","2012","Ribnica",1990
"Men","2012","Ribnica na Pohorju",60
"Men","2012","Rogaška Slatina",2224
"Men","2012","Rogašovci",117
"Men","2012","Rogatec",480
"Men","2012","Ruše",1102
"Men","2012","Selnica ob Dravi",523
"Men","2012","Semič",586
"Men","2012","Sevnica",2364
"Men","2012","Sežana",2758
"Men","2012","Slovenj Gradec",3677
"Men","2012","Slovenska Bistrica",4132
"Men","2012","Slovenske Konjice",2743
"Men","2012","Sodražica",224
"Men","2012","Solčava",56
"Men","2012","Središče ob Dravi",182
"Men","2012","Starše",308
"Men","2012","Straža",387
"Men","2012","Sveta Ana",66
"Men","2012","Sveta Trojica v Slov. goricah",118
"Men","2012","Sveti Andraž v Slov. goricah",35
"Men","2012","Sveti Jurij ob Ščavnici",178
"Men","2012","Sveti Jurij v Slov. goricah",86
"Men","2012","Sveti Tomaž",37
"Men","2012","Šalovci",62
"Men","2012","Šempeter - Vrtojba",2450
"Men","2012","Šenčur",1471
"Men","2012","Šentilj",992
"Men","2012","Šentjernej",921
"Men","2012","Šentjur",2059
"Men","2012","Šentrupert",490
"Men","2012","Škocjan",316
"Men","2012","Škofja Loka",4795
"Men","2012","Škofljica",1274
"Men","2012","Šmarje pri Jelšah",1249
"Men","2012","Šmarješke Toplice",334
"Men","2012","Šmartno ob Paki",198
"Men","2012","Šmartno pri Litiji",597
"Men","2012","Šoštanj",1256
"Men","2012","Štore",1331
"Men","2012","Tabor",71
"Men","2012","Tišina",171
"Men","2012","Tolmin",2041
"Men","2012","Trbovlje",2304
"Men","2012","Trebnje",2430
"Men","2012","Trnovska vas",89
"Men","2012","Trzin",2529
"Men","2012","Tržič",1515
"Men","2012","Turnišče",243
"Men","2012","Velenje",8891
"Men","2012","Velika Polana",62
"Men","2012","Velike Lašče",319
"Men","2012","Veržej",113
"Men","2012","Videm",281
"Men","2012","Vipava",643
"Men","2012","Vitanje",200
"Men","2012","Vodice",533
"Men","2012","Vojnik",909
"Men","2012","Vransko",287
"Men","2012","Vrhnika",1991
"Men","2012","Vuzenica",392
"Men","2012","Zagorje ob Savi",2190
"Men","2012","Zavrč",84
"Men","2012","Zreče",2351
"Men","2012","Žalec",3896
"Men","2012","Železniki",1397
"Men","2012","Žetale",54
"Men","2012","Žiri",1029
"Men","2012","Žirovnica",324
"Men","2012","Žužemberk",414
"Men","2013","Ajdovščina",2835
"Men","2013","Ankaran/Ancarano",NA
"Men","2013","Apače",250
"Men","2013","Beltinci",728
"Men","2013","Benedikt",159
"Men","2013","Bistrica ob Sotli",139
"Men","2013","Bled",1464
"Men","2013","Bloke",107
"Men","2013","Bohinj",597
"Men","2013","Borovnica",326
"Men","2013","Bovec",540
"Men","2013","Braslovče",465
"Men","2013","Brda",366
"Men","2013","Brezovica",1421
"Men","2013","Brežice",3211
"Men","2013","Cankova",124
"Men","2013","Celje",14808
"Men","2013","Cerklje na Gorenjskem",1869
"Men","2013","Cerknica",1889
"Men","2013","Cerkno",745
"Men","2013","Cerkvenjak",138
"Men","2013","Cirkulane",127
"Men","2013","Črenšovci",366
"Men","2013","Črna na Koroškem",281
"Men","2013","Črnomelj",2125
"Men","2013","Destrnik",131
"Men","2013","Divača",726
"Men","2013","Dobje",63
"Men","2013","Dobrepolje",443
"Men","2013","Dobrna",181
"Men","2013","Dobrova - Polhov Gradec",723
"Men","2013","Dobrovnik/Dobronak",87
"Men","2013","Dol pri Ljubljani",789
"Men","2013","Dolenjske Toplice",326
"Men","2013","Domžale",5434
"Men","2013","Dornava",222
"Men","2013","Dravograd",1281
"Men","2013","Duplek",421
"Men","2013","Gorenja vas - Poljane",727
"Men","2013","Gorišnica",457
"Men","2013","Gorje",234
"Men","2013","Gornja Radgona",2371
"Men","2013","Gornji Grad",161
"Men","2013","Gornji Petrovci",101
"Men","2013","Grad",101
"Men","2013","Grosuplje",3488
"Men","2013","Hajdina",419
"Men","2013","Hoče - Slivnica",2544
"Men","2013","Hodoš/Hodos",4
"Men","2013","Horjul",562
"Men","2013","Hrastnik",1104
"Men","2013","Hrpelje - Kozina",832
"Men","2013","Idrija",3264
"Men","2013","Ig",595
"Men","2013","Ilirska Bistrica",2020
"Men","2013","Ivančna Gorica",2330
"Men","2013","Izola/Isola",2436
"Men","2013","Jesenice",3421
"Men","2013","Jezersko",35
"Men","2013","Juršinci",105
"Men","2013","Kamnik",3813
"Men","2013","Kanal",675
"Men","2013","Kidričevo",1914
"Men","2013","Kobarid",356
"Men","2013","Kobilje",15
"Men","2013","Kočevje",2363
"Men","2013","Komen",334
"Men","2013","Komenda",1295
"Men","2013","Koper/Capodistria",12531
"Men","2013","Kostanjevica na Krki",249
"Men","2013","Kostel",79
"Men","2013","Kozje",282
"Men","2013","Kranj",12039
"Men","2013","Kranjska Gora",618
"Men","2013","Križevci",356
"Men","2013","Krško",4795
